year;month;state;latitude;longitude;firespots
2001;4;AMAZONAS;-48.250.000.000.000.000;-651.783.000.000.000.000;1
2001;4;MARANHAO;-33.433.300.000.000.000;-455.133.000.000.000.000;1
2001;4;MATO GROSSO;-124.291.497.872.340.000;-550.833.451.063.829.000;235
2001;4;RORAIMA;27.552.106.842.105.200;-609.893.931.578.947.000;380
2001;5;MARANHAO;-32.483.300.000.000.000;-461.483.000.000.000.000;1
2001;5;MATO GROSSO;-122.321.483.314.669.000;-552.439.012.318.029.000;893
2001;5;PARA;-65.319.042.857.142.800;-506.331.000.000.000.000;7
2001;5;RONDONIA;-111.203.280.000.000.000;-615.423.400.000.000.000;5
2001;5;RORAIMA;36.288.888.888.888.800;-613.120.333.333.333.000;9
2001;5;TOCANTINS;-76.166.700.000.000.000;-484.733.000.000.000.000;1
2001;6;ACRE;-75.783.300.000.000.000;-729.500.000.000.000.000;1
2001;6;AMAZONAS;-83.496.660.000.000.000;-639.903.400.000.000.000;5
2001;6;MARANHAO;-44.849.966.666.666.600;-472.355.666.666.666.000;3
2001;6;MATO GROSSO;-119.022.951.124.002.000;-557.582.709.934.735.000;4137
2001;6;PARA;-71.732.926.190.476.100;-502.612.285.714.285.000;42
2001;6;RONDONIA;-109.434.390.322.580.000;-624.595.741.935.483.000;31
2001;6;RORAIMA;24.266.700.000.000.000;-600.400.000.000.000.000;1
2001;6;TOCANTINS;-77.128.585.714.285.700;-486.583.428.571.428.000;7
2001;7;ACRE;-101.527.666.666.666.000;-676.761.000.000.000.000;3
2001;7;AMAPA;24.316.700.000.000.000;-512.700.000.000.000.000;1
2001;7;AMAZONAS;-71.220.366.666.666.600;-616.146.222.222.222.000;9
2001;7;MARANHAO;-45.737.881.818.181.800;-470.214.727.272.727.000;77
2001;7;MATO GROSSO;-116.247.372.549.019.000;-558.916.740.740.740.000;918
2001;7;PARA;-66.664.033.850.493.600;-520.436.121.297.602.000;709
2001;7;RONDONIA;-112.060.841.891.891.000;-623.282.635.135.135.000;74
2001;7;RORAIMA;33.000.000.000.000.000;-608.633.000.000.000.000;1
2001;7;TOCANTINS;-75.825.000.000.000.000;-485.188.291.666.666.000;24
2001;8;ACRE;-98.414.833.082.706.700;-682.094.100.250.626.000;399
2001;8;AMAPA;106.250.000.000.000.000.000;-509.881.833.333.333.000;12
2001;8;AMAZONAS;-70.773.747.294.589.100;-625.948.561.122.244.000;499
2001;8;MARANHAO;-44.319.571.389.645.700;-467.274.217.983.651.000;367
2001;8;MATO GROSSO;-110.994.430.538.322.000;-566.478.424.854.912.000;4997
2001;8;PARA;-68.821.285.899.137.300;-512.389.551.758.460.000;9042
2001;8;RONDONIA;-106.888.985.506.566.000;-630.344.044.230.769.000;2132
2001;8;RORAIMA;33.500.000.000.000.000;-599.183.250.000.000.000;4
2001;8;TOCANTINS;-68.290.015.418.502.200;-485.416.000.000.000.000;227
2001;9;ACRE;-99.234.371.875.000.000;-678.120.083.333.333.000;288
2001;9;AMAPA;12.778.243.157.894.700;-508.690.578.947.368.000;95
2001;9;AMAZONAS;-71.360.316.071.428.500;-640.510.815.476.190.000;168
2001;9;MARANHAO;-42.340.807.983.193.200;-463.346.464.285.714.000;952
2001;9;MATO GROSSO;-116.041.385.438.247.000;-559.738.088.585.657.000;5020
2001;9;PARA;-58.632.111.408.083.400;-500.698.461.212.516.000;6136
2001;9;RONDONIA;-113.503.841.627.786.000;-628.089.020.217.729.000;1929
2001;9;RORAIMA;41.250.000.000.000.000;-606.633.000.000.000.000;1
2001;9;TOCANTINS;-70.770.392.119.275.800;-485.546.140.575.079.000;939
2001;10;ACRE;-99.976.756.934.306.500;-680.472.649.635.036.000;137
2001;10;AMAPA;13.626.332.124.352.300;-510.061.911.917.098.000;193
2001;10;AMAZONAS;-40.438.152.409.638.500;-599.474.042.168.674.000;332
2001;10;MARANHAO;-41.336.273.355.869.600;-461.404.515.980.331.000;3254
2001;10;MATO GROSSO;-126.847.053.558.139.000;-565.110.275.116.279.000;4300
2001;10;PARA;-37.277.035.260.682.000;-503.191.322.422.579.000;5102
2001;10;RONDONIA;-109.082.171.356.783.000;-629.781.807.788.944.000;796
2001;10;RORAIMA;16.766.669.230.769.200;-602.012.846.153.846.000;13
2001;10;TOCANTINS;-64.179.902.424.242.400;-484.860.103.030.303.000;165
2001;11;ACRE;-77.800.000.000.000.000;-723.600.000.000.000.000;1
2001;11;AMAPA;11.271.961.083.743.800;-510.375.859.605.911.000;406
2001;11;AMAZONAS;-24.496.519.672.131.100;-609.199.295.081.967.000;244
2001;11;MARANHAO;-35.938.649.744.463.300;-459.950.427.172.061.000;2348
2001;11;MATO GROSSO;-143.064.035.576.923.000;-577.808.567.307.692.000;208
2001;11;PARA;-30.746.552.350.081.000;-506.309.825.162.074.000;4936
2001;11;RONDONIA;-109.776.052.173.913.000;-632.472.464.130.434.000;92
2001;11;RORAIMA;22.230.484.210.526.300;-603.999.605.263.157.000;76
2001;11;TOCANTINS;-64.451.905.714.285.700;-485.068.028.571.428.000;35
2001;12;AMAPA;11.710.737.099.494.000;-507.015.684.654.300.000;593
2001;12;AMAZONAS;-30.852.277.272.727.200;-580.493.909.090.909.000;22
2001;12;MARANHAO;-28.454.813.146.997.900;-459.101.415.113.871.000;966
2001;12;MATO GROSSO;-128.953.786.363.636.000;-564.341.590.909.090.000;22
2001;12;PARA;-22.929.164.302.416.200;-501.297.186.282.151.000;2566
2001;12;RONDONIA;-96.983.300.000.000.000;-628.183.000.000.000.000;1
2001;12;RORAIMA;17.010.965.789.473.600;-600.841.236.842.105.000;76
2001;12;TOCANTINS;-58.505.000.000.000.000;-483.488.400.000.000.000;10
2002;1;AMAPA;0.86214142857142857143;-507.573.857.142.857.000;7
2002;1;AMAZONAS;-40.726.470.588.235.200;-624.870.588.235.294.000;17
2002;1;MARANHAO;-34.286.359.090.909.000;-465.478.772.727.272.000;22
2002;1;MATO GROSSO;-140.615.733.333.333.000;-574.913.522.222.222.000;90
2002;1;PARA;-28.619.563.194.444.400;-515.236.555.555.555.000;144
2002;1;RONDONIA;-115.177.716.666.666.000;-616.413.833.333.333.000;6
2002;1;RORAIMA;26.654.304.304.635.700;-604.137.139.072.847.000;302
2002;1;TOCANTINS;-64.441.650.000.000.000;-485.533.500.000.000.000;2
2002;2;ACRE;-86.000.000.000.000.000;-697.767.000.000.000.000;1
2002;2;AMAPA;-0.18500000000000000000;-515.242.000.000.000.000;2
2002;2;AMAZONAS;-0.37916500000000000000;-629.383.500.000.000.000;2
2002;2;MARANHAO;-41.943.259.523.809.500;-468.546.880.952.380.000;42
2002;2;MATO GROSSO;-124.257.846.666.666.000;-541.188.933.333.333.000;15
2002;2;PARA;-40.995.968.333.333.300;-491.544.133.333.333.000;120
2002;2;RONDONIA;-96.316.625.000.000.000;-638.135.500.000.000.000;8
2002;2;RORAIMA;20.304.622.268.907.500;-604.989.691.176.470.000;476
2002;2;TOCANTINS;-68.916.700.000.000.000;-489.967.000.000.000.000;1
2002;3;AMAZONAS;-20.180.000.000.000.000;-601.246.600.000.000.000;5
2002;3;MARANHAO;-36.841.650.000.000.000;-456.841.500.000.000.000;2
2002;3;MATO GROSSO;-129.043.389.655.172.000;-554.630.689.655.172.000;58
2002;3;PARA;-54.257.150.000.000.000;-504.925.000.000.000.000;14
2002;3;RONDONIA;-101.667.000.000.000.000;-649.550.000.000.000.000;1
2002;3;RORAIMA;25.176.659.340.659.300;-608.866.742.368.742.000;819
2002;3;TOCANTINS;-67.833.350.000.000.000;-484.625.000.000.000.000;2
2002;4;AMAZONAS;-30.583.300.000.000.000;-636.583.300.000.000.000;2
2002;4;MARANHAO;-34.404.757.142.857.100;-452.873.814.285.714.000;7
2002;4;MATO GROSSO;-125.018.082.404.692.000;-553.821.213.489.736.000;341
2002;4;PARA;-81.668.190.909.090.900;-497.236.363.636.363.000;11
2002;4;RONDONIA;-103.338.900.000.000.000;-622.788.866.666.666.000;3
2002;4;RORAIMA;30.439.026.829.268.200;-610.282.117.073.170.000;41
2002;5;AMAPA;27.766.666.666.666.600;-517.388.866.666.666.000;3
2002;5;AMAZONAS;-58.510.400.000.000.000;-643.054.162.500.000.000;8
2002;5;MARANHAO;-40.414.587.500.000.000;-463.977.100.000.000.000;8
2002;5;MATO GROSSO;-122.297.975.575.715.000;-552.848.835.589.672.000;1433
